experiment,run,avg_fps,avg_ft_ms,min_ft_ms,max_ft_ms,avg_cpu_pct,avg_gpu_pct,avg_dc,avg_culled
0.Baseline (all OFF),1,1834.26,0.640296,0.198364,2.62451,8.94239,61.205,329,0
0.Baseline (all OFF),2,1866.36,0.640621,0.198364,2.83813,6.8335,94.7684,330,0
0.Baseline (all OFF),3,1849.21,0.650591,0.183105,3.75366,10.08,81.0842,330,0
0.Baseline (all OFF),4,1686.12,0.682731,0.244141,2.74658,9.36391,39.8106,330,0
0.Baseline (all OFF),5,1670.85,0.681035,0.213623,2.62451,6.71934,61.1269,330,0
1.Frustum Culling,1,2012.43,0.61934,0.152588,2.53296,8.68153,69.3268,98,231
1.Frustum Culling,2,1959.93,0.622238,0.183105,2.34985,8.47994,83.1833,99,230
1.Frustum Culling,3,1966.38,0.626524,0.152588,3.72314,8.71168,68.3784,99,230
1.Frustum Culling,4,1950.08,0.625958,0.183105,2.44141,10.7025,67.0682,99,230
1.Frustum Culling,5,2009.95,0.620544,0.152588,2.38037,8.77831,70.5861,98,231
2.LOD,1,1867.33,0.612821,0.183105,3.08228,7.6335,79.1268,329,0
2.LOD,2,1996.81,0.60168,0.183105,2.38037,8.38022,90.8148,330,0
2.LOD,3,1870.4,0.611647,0.183105,3.35693,8.5021,77.4427,330,0
2.LOD,4,1949.74,0.607008,0.183105,2.31934,7.85467,81.3554,330,0
2.LOD,5,1823.73,0.625367,0.183105,2.2583,8.60773,62.7067,330,0
3.GPU Instancing,1,1687.24,0.687028,0.183105,2.44141,8.26314,60.3974,330,0
3.GPU Instancing,2,1793.6,0.675927,0.183105,3.17383,7.84165,64.4002,330,0
3.GPU Instancing,3,1763.25,0.677641,0.183105,2.50244,15.4136,55.6887,330,0
3.GPU Instancing,4,1664.41,0.697609,0.183105,2.19727,16.6354,58.6527,330,0
3.GPU Instancing,5,1684.39,0.689693,0.183105,2.50244,7.17118,63.7911,330,0
4.Backface Culling,1,1682.05,0.688157,0.183105,2.56348,7.71213,63.8946,330,0
4.Backface Culling,2,1690.65,0.684816,0.183105,9.39941,8.62299,76.2582,330,0
4.Backface Culling,3,1673.26,0.68838,0.183105,3.23486,7.43415,67.0055,330,0
4.Backface Culling,4,1821.21,0.669772,0.183105,2.99072,7.24896,96.0906,330,0
4.Backface Culling,5,1695.2,0.689428,0.183105,2.31934,8.82618,40.9277,330,0
5.Depth Sort,1,1809.53,0.614499,0.183105,2.74658,7.46191,42.9007,330,0
5.Depth Sort,2,1802.95,0.617652,0.12207,3.17383,8.78553,47.7099,330,0
5.Depth Sort,3,1817.56,0.613507,0.12207,2.31934,9.5241,44.8716,330,0
5.Depth Sort,4,1779.18,0.618798,0.12207,2.19727,7.79328,41.8852,330,0
5.Depth Sort,5,1816.14,0.612917,0.12207,2.44141,7.90922,44.1793,330,0
6.Occlusion Culling,1,1640.64,0.660647,0.244141,5.12695,9.96972,36.6523,83,246
6.Occlusion Culling,2,1657.53,0.658026,0.244141,2.44141,9.06131,41.8049,83,246
6.Occlusion Culling,3,1695.78,0.649008,0.244141,2.31934,8.96876,43.8013,83,246
6.Occlusion Culling,4,1709.29,0.650704,0.244141,2.44141,9.85825,45.0619,82,247
6.Occlusion Culling,5,1633.91,0.66113,0.244141,3.17383,9.10793,42.0206,84,245
7.View Dist Cull,1,2651.2,0.481411,0.12207,2.80762,8.23333,90.2917,112,217
7.View Dist Cull,2,2657.83,0.485579,0.12207,2.31934,9.62508,92.6258,112,217
7.View Dist Cull,3,2644.41,0.48935,0.12207,2.92969,9.18415,75.4576,111,218
7.View Dist Cull,4,2673.37,0.482619,0.12207,2.19727,8.44661,89.6541,112,217
7.View Dist Cull,5,2616.72,0.488343,0.12207,2.0752,10.1173,74.7621,112,217
8.Small Obj Cull,1,1881.39,0.672487,0.12207,2.68555,7.57502,81.0603,329,0
8.Small Obj Cull,2,1744.86,0.682836,0.12207,2.31934,6.95033,63.5104,330,0
8.Small Obj Cull,3,1695.99,0.684223,0.244141,2.56348,8.67456,60.7949,330,0
8.Small Obj Cull,4,1740.55,0.687491,0.12207,2.56348,8.01837,44.3998,330,0
8.Small Obj Cull,5,1760.64,0.678687,0.12207,2.92969,6.92814,64.3317,330,0
9.Deferred Shading,1,1220.73,1.00869,0.244141,3.2959,9.12616,67.8525,330,0
9.Deferred Shading,2,1230.08,0.999895,0.12207,3.78418,7.24269,44.0846,330,0
9.Deferred Shading,3,1259.92,0.996825,0.12207,2.80762,6.80744,39.6726,330,0
9.Deferred Shading,4,1339.74,0.977628,0.12207,2.92969,12.0947,80.2935,330,0
9.Deferred Shading,5,1313.66,0.984125,0.12207,3.41797,7.23884,55.2952,330,0

# --- 실험별 평균 요약 (5회 평균) ---
experiment,avg_fps,avg_ft_ms,fps_vs_baseline_pct
0.Baseline (all OFF),1781.36,0.659055,0
1.Frustum Culling,1979.76,0.622921,11.1373
2.LOD,1901.6,0.611705,6.75009
3.GPU Instancing,1718.58,0.68558,-3.52439
4.Backface Culling,1712.48,0.684111,-3.86689
5.Depth Sort,1805.07,0.615475,1.33115
6.Occlusion Culling,1667.43,0.655903,-6.39563
7.View Dist Cull,2648.71,0.48546,48.6901
8.Small Obj Cull,1764.68,0.681145,-0.936051
9.Deferred Shading,1272.83,0.993432,-28.5475
# replay: replays/replay_040.replay
# stress_level: 0  objects: 330
